dataset file	MONA command	Lisa command	MONA DFA #states	Lisa DFA #states
datasets/ex_lisa/cc.ltlf        	./ltlf2fol BNF datasets/ex_lisa/cc.ltlf > tmp.mona && mona -u tmp.mona          	./bin/lisa -exp -ltlf datasets/ex_lisa/cc.ltlf                	7	1
datasets/ex_lisa/counter_1.ltlf 	./ltlf2fol BNF datasets/ex_lisa/counter_1.ltlf > tmp.mona && mona -u tmp.mona   	./bin/lisa -exp -ltlf datasets/ex_lisa/counter_1.ltlf         	7	1
datasets/ex_lisa/counter_2.ltlf 	./ltlf2fol BNF datasets/ex_lisa/counter_2.ltlf > tmp.mona && mona -u tmp.mona   	./bin/lisa -exp -ltlf datasets/ex_lisa/counter_2.ltlf         	13	1
datasets/ex_lisa/counters_1.ltlf	./ltlf2fol BNF datasets/ex_lisa/counters_1.ltlf > tmp.mona && mona -u tmp.mona  	./bin/lisa -exp -ltlf datasets/ex_lisa/counters_1.ltlf        	13	1
datasets/ex_lisa/counters_2.ltlf	./ltlf2fol BNF datasets/ex_lisa/counters_2.ltlf > tmp.mona && mona -u tmp.mona  	./bin/lisa -exp -ltlf datasets/ex_lisa/counters_2.ltlf        	47	1
datasets/ex_lisa/ltlf3377.ltlf  	./ltlf2fol BNF datasets/ex_lisa/ltlf3377.ltlf > tmp.mona && mona -u tmp.mona    	./bin/lisa -exp -ltlf datasets/ex_lisa/ltlf3377.ltlf          	3377	3377
datasets/ex_lisa/req.ltlf       	./ltlf2fol BNF datasets/ex_lisa/req.ltlf > tmp.mona && mona -u tmp.mona         	./bin/lisa -exp -ltlf datasets/ex_lisa/req.ltlf               	17	17
datasets/ex_lisa/req1.ltlf      	./ltlf2fol BNF datasets/ex_lisa/req1.ltlf > tmp.mona && mona -u tmp.mona        	./bin/lisa -exp -ltlf datasets/ex_lisa/req1.ltlf              	8	6
datasets/ex_lisa/testcase.ltlf  	./ltlf2fol BNF datasets/ex_lisa/testcase.ltlf > tmp.mona && mona -u tmp.mona    	./bin/lisa -exp -ltlf datasets/ex_lisa/testcase.ltlf          	6	5
datasets/len_1/001.ltlf         	./ltlf2fol BNF datasets/len_1/001.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/001.ltlf                 	3	6
datasets/len_1/002.ltlf         	./ltlf2fol BNF datasets/len_1/002.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/002.ltlf                 	35	1
datasets/len_1/003.ltlf         	./ltlf2fol BNF datasets/len_1/003.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/003.ltlf                 	1	1
datasets/len_1/004.ltlf         	./ltlf2fol BNF datasets/len_1/004.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/004.ltlf                 	3	6
datasets/len_1/005.ltlf         	./ltlf2fol BNF datasets/len_1/005.ltlf > tmp.mona && mona -u tmp.mona           	./bin/lisa -exp -ltlf datasets/len_1/005.ltlf                 	516	1
